_id,date,center_name,attendance_count
26591908,2015-09-12,Brookline Community Center,74
26591909,2015-09-12,Ormsby Community Center,64
26591910,2015-09-12,Magee Community Center,43
26591911,2015-09-12,Phillips Community Center,26
26591912,2015-09-11,Warrington Community Center,21
26591913,2015-09-11,West Penn Community Center,34
26591914,2015-09-11,Ammon Community Center,44
26591915,2015-09-11,Brookline Community Center,81
26591916,2015-09-11,Jefferson Community Center,5
26591917,2015-09-11,Magee Community Center,41
26591918,2015-09-11,Ormsby Community Center,10
26591919,2015-09-11,Phillips Community Center,77
26591920,2015-09-11,Paulson Community Center,2
26591921,2015-09-10,West Penn Community Center,35
26591922,2015-09-10,Warrington Community Center,27
26591923,2015-09-10,Ammon Community Center,103
26591924,2015-09-10,Jefferson Community Center,7
26591925,2015-09-10,Brookline Community Center,85
26591926,2015-09-10,Ormsby Community Center,33
26591927,2015-09-10,Magee Community Center,18
26591928,2015-09-10,Phillips Community Center,72
26591929,2015-09-09,Warrington Community Center,24
26591930,2015-09-09,West Penn Community Center,46
26591931,2015-09-09,Ammon Community Center,89
26591932,2015-09-09,Brookline Community Center,164
26591933,2015-09-09,Jefferson Community Center,20
26591934,2015-09-09,Magee Community Center,14
26591935,2015-09-09,Ormsby Community Center,34
26591936,2015-09-09,Phillips Community Center,1
26591937,2015-09-09,Paulson Community Center,54
26591938,2015-09-08,West Penn Community Center,52
26591939,2015-09-08,Warrington Community Center,20
26591940,2015-09-08,Ammon Community Center,113
26591941,2015-09-08,Arlington Community Center,29
26591942,2015-09-08,Jefferson Community Center,19
26591943,2015-09-08,Brookline Community Center,93
26591944,2015-09-08,Ormsby Community Center,36
26591945,2015-09-08,Magee Community Center,34
26591946,2015-09-08,Paulson Community Center,4
26591947,2015-09-08,Phillips Community Center,55
26591948,2015-09-05,West Penn Community Center,25
26591949,2015-09-05,Brookline Community Center,76
26591950,2015-09-05,Magee Community Center,26
26591951,2015-09-05,Ormsby Community Center,7
26591952,2015-09-05,Phillips Community Center,11
26591953,2015-09-04,West Penn Community Center,51
26591954,2015-09-04,Warrington Community Center,26
26591955,2015-09-04,Arlington Community Center,16
26591956,2015-09-04,Ammon Community Center,66
26591957,2015-09-04,Brookline Community Center,172
26591958,2015-09-04,Jefferson Community Center,15
26591959,2015-09-04,Ormsby Community Center,17
26591960,2015-09-04,Magee Community Center,46
26591961,2015-09-04,Phillips Community Center,44
26591962,2015-09-03,Warrington Community Center,32
26591963,2015-09-03,West Penn Community Center,31
26591964,2015-09-03,Ammon Community Center,73
26591965,2015-09-03,Arlington Community Center,29
26591966,2015-09-03,Jefferson Community Center,20
26591967,2015-09-03,Brookline Community Center,157
26591968,2015-09-03,Magee Community Center,32
26591969,2015-09-03,Ormsby Community Center,23
26591970,2015-09-03,Phillips Community Center,55
26591971,2015-09-02,West Penn Community Center,33
26591972,2015-09-02,Warrington Community Center,29
26591973,2015-09-02,Arlington Community Center,23
26591974,2015-09-02,Ammon Community Center,88
26591975,2015-09-02,Brookline Community Center,164
26591976,2015-09-02,Jefferson Community Center,30
26591977,2015-09-02,Ormsby Community Center,17
26591978,2015-09-02,Magee Community Center,34
26591979,2015-09-02,Phillips Community Center,74
26591980,2015-09-01,Warrington Community Center,40
26591981,2015-09-01,West Penn Community Center,67
26591982,2015-09-01,Ammon Community Center,81
26591983,2015-09-01,Arlington Community Center,28
26591984,2015-09-01,Jefferson Community Center,16
26591985,2015-09-01,Brookline Community Center,139
26591986,2015-09-01,Magee Community Center,26
26591987,2015-09-01,Ormsby Community Center,18
26591988,2015-09-01,Phillips Community Center,69
26591989,2015-08-31,West Penn Community Center,52
26591990,2015-08-31,Warrington Community Center,35
26591991,2015-08-31,Ammon Community Center,102
26591992,2015-08-31,Brookline Community Center,144
26591993,2015-08-31,Jefferson Community Center,36
26591994,2015-08-31,Ormsby Community Center,24
26591995,2015-08-31,Magee Community Center,33
26591996,2015-08-31,Phillips Community Center,110
26591997,2015-08-29,West Penn Community Center,29
26591998,2015-08-29,Arlington Community Center,5
26591999,2015-08-29,Brookline Community Center,23
26592000,2015-08-29,Magee Community Center,17
26592001,2015-08-29,Phillips Community Center,33
26592002,2015-08-28,West Penn Community Center,23
26592003,2015-08-28,Warrington Community Center,8
26592004,2015-08-28,Arlington Community Center,14
26592005,2015-08-28,Ammon Community Center,26
26592006,2015-08-28,Brookline Community Center,285
26592007,2015-08-28,Jefferson Community Center,29
26592008,2015-08-28,Magee Community Center,3
26592009,2015-08-28,Ormsby Community Center,16
26592010,2015-08-28,Phillips Community Center,531
26592011,2015-08-27,Warrington Community Center,22
26592012,2015-08-27,West Penn Community Center,24
26592013,2015-08-27,Ammon Community Center,36
26592014,2015-08-27,Arlington Community Center,37
26592015,2015-08-27,Jefferson Community Center,24
26592016,2015-08-27,Brookline Community Center,111
26592017,2015-08-27,Ormsby Community Center,24
26592018,2015-08-27,Magee Community Center,1
26592019,2015-08-27,Phillips Community Center,51
26592020,2015-08-26,West Penn Community Center,22
26592021,2015-08-26,Warrington Community Center,32
26592022,2015-08-26,Arlington Community Center,30
26592023,2015-08-26,Ammon Community Center,34
26592024,2015-08-26,Brookline Community Center,119
26592025,2015-08-26,Jefferson Community Center,19
26592026,2015-08-26,Magee Community Center,14
26592027,2015-08-26,Ormsby Community Center,29
26592028,2015-08-26,Phillips Community Center,92
26592029,2015-08-25,Warrington Community Center,22
26592030,2015-08-25,West Penn Community Center,22
26592031,2015-08-25,Ammon Community Center,32
26592032,2015-08-25,Arlington Community Center,81
26592033,2015-08-25,Jefferson Community Center,29
26592034,2015-08-25,Brookline Community Center,136
26592035,2015-08-25,Ormsby Community Center,9
26592036,2015-08-25,Magee Community Center,23
26592037,2015-08-25,Phillips Community Center,81
26592038,2015-08-24,West Penn Community Center,43
26592039,2015-08-24,Warrington Community Center,31
26592040,2015-08-24,Arlington Community Center,85
26592041,2015-08-24,Ammon Community Center,78
26592042,2015-08-24,Brookline Community Center,95
26592043,2015-08-24,Jefferson Community Center,38
26592044,2015-08-24,Magee Community Center,15
26592045,2015-08-24,Ormsby Community Center,32
26592046,2015-08-24,Phillips Community Center,82
26592047,2015-08-22,Warrington Community Center,4
26592048,2015-08-22,West Penn Community Center,18
26592049,2015-08-22,Brookline Community Center,17
26592050,2015-08-22,Magee Community Center,2
26592051,2015-08-22,Phillips Community Center,298
26592052,2015-08-21,West Penn Community Center,42
26592053,2015-08-21,Warrington Community Center,15
26592054,2015-08-21,Ammon Community Center,33
26592055,2015-08-21,Arlington Community Center,24
26592056,2015-08-21,Brookline Community Center,98
26592057,2015-08-21,Jefferson Community Center,19
26592058,2015-08-21,Magee Community Center,10
26592059,2015-08-21,Ormsby Community Center,22
26592060,2015-08-21,Phillips Community Center,72
26592061,2015-08-20,Warrington Community Center,24
26592062,2015-08-20,West Penn Community Center,33
26592063,2015-08-20,Arlington Community Center,18
26592064,2015-08-20,Ammon Community Center,45
26592065,2015-08-20,Jefferson Community Center,23
26592066,2015-08-20,Brookline Community Center,184
26592067,2015-08-20,Ormsby Community Center,24
26592068,2015-08-20,Magee Community Center,20
26592069,2015-08-20,Phillips Community Center,72
26592070,2015-08-19,West Penn Community Center,29
26592071,2015-08-19,Warrington Community Center,34
26592072,2015-08-19,Ammon Community Center,41
26592073,2015-08-19,Arlington Community Center,46
26592074,2015-08-19,Brookline Community Center,167
26592075,2015-08-19,Jefferson Community Center,40
26592076,2015-08-19,Magee Community Center,11
26592077,2015-08-19,Ormsby Community Center,21
26592078,2015-08-19,Phillips Community Center,96
26592079,2015-08-18,Warrington Community Center,44
26592080,2015-08-18,West Penn Community Center,36
26592081,2015-08-18,Arlington Community Center,24
26592082,2015-08-18,Ammon Community Center,101
26592083,2015-08-18,Jefferson Community Center,25
26592084,2015-08-18,Brookline Community Center,94
26592085,2015-08-18,Ormsby Community Center,31
26592086,2015-08-18,Magee Community Center,96
26592087,2015-08-18,Phillips Community Center,100
26592088,2015-08-17,West Penn Community Center,46
26592089,2015-08-17,Warrington Community Center,18
26592090,2015-08-17,Ammon Community Center,66
26592091,2015-08-17,Arlington Community Center,33
26592092,2015-08-17,Brookline Community Center,195
26592093,2015-08-17,Jefferson Community Center,27
26592094,2015-08-17,Magee Community Center,21
26592095,2015-08-17,Ormsby Community Center,39
26592096,2015-08-17,Phillips Community Center,91
26592097,2015-08-15,West Penn Community Center,17
26592098,2015-08-15,Brookline Community Center,21
26592099,2015-08-15,Ormsby Community Center,11
26592100,2015-08-15,Magee Community Center,35
26592101,2015-08-15,Phillips Community Center,51
26592102,2015-08-14,West Penn Community Center,33
26592103,2015-08-14,Warrington Community Center,30
26592104,2015-08-14,Arlington Community Center,21
26592105,2015-08-14,Ammon Community Center,74
26592106,2015-08-14,Brookline Community Center,118
26592107,2015-08-14,Jefferson Community Center,50
26592108,2015-08-14,Magee Community Center,11
26592109,2015-08-14,Ormsby Community Center,14
26592110,2015-08-14,Phillips Community Center,106
26592111,2015-08-13,Warrington Community Center,5
26592112,2015-08-13,West Penn Community Center,36
26592113,2015-08-13,Ammon Community Center,95
26592114,2015-08-13,Arlington Community Center,59
26592115,2015-08-13,Jefferson Community Center,11
26592116,2015-08-13,Brookline Community Center,219
26592117,2015-08-13,Ormsby Community Center,23
26592118,2015-08-13,Magee Community Center,21
26592119,2015-08-13,Phillips Community Center,124
26592120,2015-08-12,West Penn Community Center,92
26592121,2015-08-12,Arlington Community Center,67
26592122,2015-08-12,Ammon Community Center,73
26592123,2015-08-12,Brookline Community Center,143
26592124,2015-08-12,Jefferson Community Center,53
26592125,2015-08-12,Magee Community Center,35
26592126,2015-08-12,Ormsby Community Center,47
26592127,2015-08-12,Phillips Community Center,121
26592128,2015-08-11,West Penn Community Center,49
26592129,2015-08-11,Ammon Community Center,121
26592130,2015-08-11,Arlington Community Center,100
26592131,2015-08-11,Jefferson Community Center,29
26592132,2015-08-11,Brookline Community Center,150
26592133,2015-08-11,Ormsby Community Center,44
26592134,2015-08-11,Magee Community Center,48
26592135,2015-08-11,Phillips Community Center,146
26592136,2015-08-10,West Penn Community Center,54
26592137,2015-08-10,Arlington Community Center,98
26592138,2015-08-10,Ammon Community Center,67
26592139,2015-08-10,Brookline Community Center,210
26592140,2015-08-10,Jefferson Community Center,24
26592141,2015-08-10,Magee Community Center,17
26592142,2015-08-10,Ormsby Community Center,35
26592143,2015-08-10,Phillips Community Center,117
26592144,2015-08-08,West Penn Community Center,23
26592145,2015-08-08,Warrington Community Center,4
26592146,2015-08-08,Brookline Community Center,3
26592147,2015-08-08,Ormsby Community Center,10
26592148,2015-08-08,Phillips Community Center,27
26592149,2015-08-07,Warrington Community Center,37
26592150,2015-08-07,West Penn Community Center,35
26592151,2015-08-07,Ammon Community Center,63
26592152,2015-08-07,Arlington Community Center,34
26592153,2015-08-07,Brookline Community Center,153
26592154,2015-08-07,Jefferson Community Center,55
26592155,2015-08-07,Ormsby Community Center,34
26592156,2015-08-07,Magee Community Center,75
26592157,2015-08-07,Phillips Community Center,87
26592158,2015-08-06,West Penn Community Center,34
26592159,2015-08-06,Warrington Community Center,81
26592160,2015-08-06,Arlington Community Center,56
26592161,2015-08-06,Ammon Community Center,92
26592162,2015-08-06,Jefferson Community Center,57
26592163,2015-08-06,Brookline Community Center,186
26592164,2015-08-06,Magee Community Center,11
26592165,2015-08-06,Ormsby Community Center,36
26592166,2015-08-05,Warrington Community Center,111
26592167,2015-08-05,West Penn Community Center,43
26592168,2015-08-05,Ammon Community Center,63
26592169,2015-08-05,Arlington Community Center,72
26592170,2015-08-05,Brookline Community Center,139
26592171,2015-08-05,Jefferson Community Center,69
26592172,2015-08-05,Ormsby Community Center,42
26592173,2015-08-05,Magee Community Center,30
26592174,2015-08-04,West Penn Community Center,38
26592175,2015-08-04,Warrington Community Center,103
26592176,2015-08-04,Arlington Community Center,49
26592177,2015-08-04,Ammon Community Center,132
26592178,2015-08-04,Jefferson Community Center,97
26592179,2015-08-04,Brookline Community Center,220
26592180,2015-08-04,Magee Community Center,41
26592181,2015-08-04,Ormsby Community Center,34
26592182,2015-08-03,Warrington Community Center,115
26592183,2015-08-03,West Penn Community Center,53
26592184,2015-08-03,Ammon Community Center,84
26592185,2015-08-03,Arlington Community Center,52
26592186,2015-08-03,Brookline Community Center,130
26592187,2015-08-03,Jefferson Community Center,37
26592188,2015-08-03,Ormsby Community Center,38
26592189,2015-08-03,Magee Community Center,12
26592190,2015-08-03,Phillips Community Center,112
26592191,2015-08-01,West Penn Community Center,16
26592192,2015-08-01,Brookline Community Center,31
26592193,2015-08-01,Magee Community Center,28
26592194,2015-08-01,Ormsby Community Center,18
26592195,2015-08-01,Phillips Community Center,66
26592196,2015-07-31,West Penn Community Center,33
26592197,2015-07-31,Warrington Community Center,84
26592198,2015-07-31,Arlington Community Center,31
26592199,2015-07-31,Ammon Community Center,63
26592200,2015-07-31,Brookline Community Center,138
26592201,2015-07-31,Jefferson Community Center,41
26592202,2015-07-31,Ormsby Community Center,41
26592203,2015-07-31,Magee Community Center,46
26592204,2015-07-31,Phillips Community Center,146
26592205,2015-07-30,Warrington Community Center,138
26592206,2015-07-30,West Penn Community Center,26
26592207,2015-07-30,Ammon Community Center,157
26592208,2015-07-30,Arlington Community Center,59
26592209,2015-07-30,Jefferson Community Center,48
26592210,2015-07-30,Brookline Community Center,352
26592211,2015-07-30,Magee Community Center,40
26592212,2015-07-30,Ormsby Community Center,58
26592213,2015-07-30,Phillips Community Center,151
26592214,2015-07-29,West Penn Community Center,31
26592215,2015-07-29,Warrington Community Center,121
26592216,2015-07-29,Arlington Community Center,33
26592217,2015-07-29,Ammon Community Center,135
26592218,2015-07-29,Brookline Community Center,145
26592219,2015-07-29,Jefferson Community Center,28
26592220,2015-07-29,Ormsby Community Center,65
26592221,2015-07-29,Magee Community Center,54
26592222,2015-07-29,Phillips Community Center,199
26592223,2015-07-28,Warrington Community Center,109
26592224,2015-07-28,West Penn Community Center,33
26592225,2015-07-28,Ammon Community Center,130
26592226,2015-07-28,Arlington Community Center,26
26592227,2015-07-28,Jefferson Community Center,46
26592228,2015-07-28,Brookline Community Center,232
26592229,2015-07-28,Magee Community Center,12
26592230,2015-07-28,Ormsby Community Center,73
26592231,2015-07-28,Phillips Community Center,101
26592232,2015-07-27,West Penn Community Center,99
26592233,2015-07-27,Warrington Community Center,120
26592234,2015-07-27,Arlington Community Center,24
26592235,2015-07-27,Ammon Community Center,163
26592236,2015-07-27,Brookline Community Center,347
26592237,2015-07-27,Jefferson Community Center,51
26592238,2015-07-27,Ormsby Community Center,70
26592239,2015-07-27,Magee Community Center,47
26592240,2015-07-27,Phillips Community Center,206
26592241,2015-07-25,West Penn Community Center,16
26592242,2015-07-25,Ammon Community Center,154
26592243,2015-07-25,Brookline Community Center,39
26592244,2015-07-25,Magee Community Center,22
26592245,2015-07-25,Ormsby Community Center,7
26592246,2015-07-25,Phillips Community Center,52
26592247,2015-07-24,West Penn Community Center,46
26592248,2015-07-24,Warrington Community Center,106
26592249,2015-07-24,Ammon Community Center,129
26592250,2015-07-24,Arlington Community Center,56
26592251,2015-07-24,Brookline Community Center,157
26592252,2015-07-24,Jefferson Community Center,46
26592253,2015-07-24,Ormsby Community Center,57
26592254,2015-07-24,Magee Community Center,51
26592255,2015-07-24,Phillips Community Center,118
26592256,2015-07-23,Warrington Community Center,123
26592257,2015-07-23,West Penn Community Center,47
26592258,2015-07-23,Arlington Community Center,112
26592259,2015-07-23,Ammon Community Center,105
26592260,2015-07-23,Jefferson Community Center,72
26592261,2015-07-23,Brookline Community Center,193
26592262,2015-07-23,Magee Community Center,44
26592263,2015-07-23,Ormsby Community Center,50
26592264,2015-07-23,Phillips Community Center,180
26592265,2015-07-22,West Penn Community Center,70
26592266,2015-07-22,Warrington Community Center,123
26592267,2015-07-22,Ammon Community Center,190
26592268,2015-07-22,Arlington Community Center,49
26592269,2015-07-22,Brookline Community Center,144
26592270,2015-07-22,Jefferson Community Center,57
26592271,2015-07-22,Ormsby Community Center,68
26592272,2015-07-22,Magee Community Center,43
26592273,2015-07-22,Phillips Community Center,147
26592274,2015-07-21,Warrington Community Center,120
26592275,2015-07-21,West Penn Community Center,36
26592276,2015-07-21,Arlington Community Center,118
26592277,2015-07-21,Ammon Community Center,102
26592278,2015-07-21,Jefferson Community Center,60
26592279,2015-07-21,Brookline Community Center,193
26592280,2015-07-21,Magee Community Center,101
26592281,2015-07-21,Ormsby Community Center,66
26592282,2015-07-21,Phillips Community Center,156
26592283,2015-07-21,Paulson Community Center,32
26592284,2015-07-20,West Penn Community Center,40
26592285,2015-07-20,Warrington Community Center,115
26592286,2015-07-20,Ammon Community Center,243
26592287,2015-07-20,Arlington Community Center,43
26592288,2015-07-20,Brookline Community Center,174
26592289,2015-07-20,Jefferson Community Center,73
26592290,2015-07-20,Ormsby Community Center,82
26592291,2015-07-20,Magee Community Center,74
26592292,2015-07-20,Paulson Community Center,85
26592293,2015-07-20,Phillips Community Center,173
26592294,2015-07-18,West Penn Community Center,22
26592295,2015-07-18,Ammon Community Center,75
26592296,2015-07-18,Brookline Community Center,18
26592297,2015-07-18,Ormsby Community Center,19
26592298,2015-07-18,Phillips Community Center,56
26592299,2015-07-17,West Penn Community Center,37
26592300,2015-07-17,Warrington Community Center,91
26592301,2015-07-17,Ammon Community Center,153
26592302,2015-07-17,Arlington Community Center,56
26592303,2015-07-17,Brookline Community Center,105
26592304,2015-07-17,Ormsby Community Center,66
26592305,2015-07-17,Magee Community Center,41
26592306,2015-07-17,Phillips Community Center,110
26592307,2015-07-17,Paulson Community Center,32
26592308,2015-07-16,Warrington Community Center,231
26592309,2015-07-16,West Penn Community Center,35
26592310,2015-07-16,Ammon Community Center,179
26592311,2015-07-16,Brookline Community Center,331
26592312,2015-07-16,Magee Community Center,48
26592313,2015-07-16,Ormsby Community Center,74
26592314,2015-07-16,Phillips Community Center,129
26592315,2015-07-15,West Penn Community Center,34
26592316,2015-07-15,Warrington Community Center,122
26592317,2015-07-15,Ammon Community Center,123
26592318,2015-07-15,Brookline Community Center,117
26592319,2015-07-15,Ormsby Community Center,49
26592320,2015-07-15,Magee Community Center,46
26592321,2015-07-15,Phillips Community Center,135
26592322,2015-07-14,Warrington Community Center,244
26592323,2015-07-14,West Penn Community Center,47
26592324,2015-07-14,Ammon Community Center,152
26592325,2015-07-14,Brookline Community Center,220
26592326,2015-07-14,Jefferson Community Center,4
26592327,2015-07-14,Magee Community Center,54
26592328,2015-07-14,Ormsby Community Center,79
26592329,2015-07-14,Phillips Community Center,167
26592330,2015-07-13,West Penn Community Center,36
26592331,2015-07-13,Warrington Community Center,131
26592332,2015-07-13,Ammon Community Center,193
26592333,2015-07-13,Jefferson Community Center,59
26592334,2015-07-13,Brookline Community Center,96
26592335,2015-07-13,Ormsby Community Center,81
26592336,2015-07-13,Magee Community Center,62
26592337,2015-07-13,Phillips Community Center,164
26592338,2015-07-12,Ammon Community Center,2
26592339,2015-07-11,West Penn Community Center,25
26592340,2015-07-11,Ammon Community Center,80
26592341,2015-07-11,Brookline Community Center,131
26592342,2015-07-11,Ormsby Community Center,10
26592343,2015-07-11,Phillips Community Center,90
26592344,2015-07-10,West Penn Community Center,38
26592345,2015-07-10,Warrington Community Center,135
26592346,2015-07-10,Ammon Community Center,103
26592347,2015-07-10,Arlington Community Center,36
26592348,2015-07-10,Brookline Community Center,108
26592349,2015-07-10,Jefferson Community Center,74
26592350,2015-07-10,Ormsby Community Center,40
26592351,2015-07-10,Phillips Community Center,107
26592352,2015-07-10,Paulson Community Center,35
26592353,2015-07-09,Warrington Community Center,149
26592354,2015-07-09,West Penn Community Center,49
26592355,2015-07-09,Arlington Community Center,92
26592356,2015-07-09,Jefferson Community Center,51
26592357,2015-07-09,Brookline Community Center,198
26592358,2015-07-09,Ormsby Community Center,61
26592359,2015-07-09,Paulson Community Center,38
26592360,2015-07-09,Phillips Community Center,118
26592361,2015-07-08,West Penn Community Center,40
26592362,2015-07-08,Warrington Community Center,164
26592363,2015-07-08,Arlington Community Center,55
26592364,2015-07-08,Brookline Community Center,135
26592365,2015-07-08,Jefferson Community Center,74
26592366,2015-07-08,Ormsby Community Center,69
26592367,2015-07-08,Magee Community Center,30
26592368,2015-07-08,Phillips Community Center,159
26592369,2015-07-07,Warrington Community Center,144
26592370,2015-07-07,West Penn Community Center,45
26592371,2015-07-07,Arlington Community Center,87
26592372,2015-07-07,Ammon Community Center,169
26592373,2015-07-07,Jefferson Community Center,92
26592374,2015-07-07,Brookline Community Center,183
26592375,2015-07-07,Magee Community Center,55
26592376,2015-07-07,Ormsby Community Center,85
26592377,2015-07-07,Phillips Community Center,150
26592378,2015-07-07,Paulson Community Center,29
26592379,2015-07-06,West Penn Community Center,36
26592380,2015-07-06,Warrington Community Center,110
26592381,2015-07-06,Ammon Community Center,217
26592382,2015-07-06,Arlington Community Center,85
26592383,2015-07-06,Brookline Community Center,242
26592384,2015-07-06,Jefferson Community Center,70
26592385,2015-07-06,Ormsby Community Center,65
26592386,2015-07-06,Magee Community Center,57
26592387,2015-07-06,Paulson Community Center,91
26592388,2015-07-06,Phillips Community Center,122
26592389,2015-07-02,Warrington Community Center,68
26592390,2015-07-02,West Penn Community Center,64
26592391,2015-07-02,Arlington Community Center,68
26592392,2015-07-02,Ammon Community Center,186
26592393,2015-07-02,Jefferson Community Center,133
26592394,2015-07-02,Brookline Community Center,145
26592395,2015-07-02,Magee Community Center,39
26592396,2015-07-02,Ormsby Community Center,55
26592397,2015-07-02,Phillips Community Center,96
26592398,2015-07-02,Paulson Community Center,50
26592399,2015-07-01,West Penn Community Center,93
26592400,2015-07-01,Warrington Community Center,69
26592401,2015-07-01,Ammon Community Center,220
26592402,2015-07-01,Arlington Community Center,61
26592403,2015-07-01,Brookline Community Center,177
26592404,2015-07-01,Jefferson Community Center,69
26592405,2015-07-01,Ormsby Community Center,38
26592406,2015-07-01,Magee Community Center,30
26592407,2015-07-01,Paulson Community Center,115
26592408,2015-07-01,Phillips Community Center,137
26592409,2015-06-30,Warrington Community Center,73
26592410,2015-06-30,West Penn Community Center,66
26592411,2015-06-30,Arlington Community Center,59
26592412,2015-06-30,Ammon Community Center,161
26592413,2015-06-30,Jefferson Community Center,85
26592414,2015-06-30,Brookline Community Center,159
26592415,2015-06-30,Magee Community Center,37
26592416,2015-06-30,Ormsby Community Center,56
26592417,2015-06-30,Phillips Community Center,129
26592418,2015-06-30,Paulson Community Center,160
26592419,2015-06-29,West Penn Community Center,94
26592420,2015-06-29,Warrington Community Center,111
26592421,2015-06-29,Ammon Community Center,200
26592422,2015-06-29,Arlington Community Center,85
26592423,2015-06-29,Brookline Community Center,269
26592424,2015-06-29,Jefferson Community Center,123
26592425,2015-06-29,Ormsby Community Center,55
26592426,2015-06-29,Magee Community Center,64
26592427,2015-06-29,Phillips Community Center,187
26592428,2015-06-27,West Penn Community Center,33
26592429,2015-06-27,Ammon Community Center,75
26592430,2015-06-27,Brookline Community Center,27
26592431,2015-06-27,Magee Community Center,35
26592432,2015-06-27,Phillips Community Center,37
26592433,2015-06-26,West Penn Community Center,56
26592434,2015-06-26,Warrington Community Center,49
26592435,2015-06-26,Ammon Community Center,209
26592436,2015-06-26,Arlington Community Center,63
26592437,2015-06-26,Brookline Community Center,142
26592438,2015-06-26,Jefferson Community Center,108
26592439,2015-06-26,Magee Community Center,66
26592440,2015-06-26,Ormsby Community Center,65
26592441,2015-06-26,Phillips Community Center,135
26592442,2015-06-26,Paulson Community Center,115
26592443,2015-06-25,Warrington Community Center,109
26592444,2015-06-25,West Penn Community Center,40
26592445,2015-06-25,Arlington Community Center,75
26592446,2015-06-25,Ammon Community Center,107
26592447,2015-06-25,Jefferson Community Center,123
26592448,2015-06-25,Brookline Community Center,108
26592449,2015-06-25,Ormsby Community Center,27
26592450,2015-06-25,Magee Community Center,53
26592451,2015-06-25,Paulson Community Center,126
26592452,2015-06-25,Phillips Community Center,138
26592453,2015-06-24,West Penn Community Center,49
26592454,2015-06-24,Warrington Community Center,104
26592455,2015-06-24,Ammon Community Center,173
26592456,2015-06-24,Arlington Community Center,62
26592457,2015-06-24,Brookline Community Center,238
26592458,2015-06-24,Jefferson Community Center,67
26592459,2015-06-24,Magee Community Center,67
26592460,2015-06-24,Ormsby Community Center,114
26592461,2015-06-24,Phillips Community Center,236
26592462,2015-06-24,Paulson Community Center,92
26592463,2015-06-23,Warrington Community Center,85
26592464,2015-06-23,West Penn Community Center,87
26592465,2015-06-23,Arlington Community Center,80
26592466,2015-06-23,Ammon Community Center,193
26592467,2015-06-23,Jefferson Community Center,97
26592468,2015-06-23,Brookline Community Center,180
26592469,2015-06-23,Ormsby Community Center,35
26592470,2015-06-23,Magee Community Center,35
26592471,2015-06-23,Paulson Community Center,79
26592472,2015-06-23,Phillips Community Center,185
26592473,2015-06-22,West Penn Community Center,56
26592474,2015-06-22,Warrington Community Center,73
26592475,2015-06-22,Ammon Community Center,152
26592476,2015-06-22,Arlington Community Center,108
26592477,2015-06-22,Brookline Community Center,317
26592478,2015-06-22,Jefferson Community Center,118
26592479,2015-06-22,Magee Community Center,65
26592480,2015-06-22,Ormsby Community Center,129
26592481,2015-06-22,Phillips Community Center,285
26592482,2015-06-22,Paulson Community Center,83
26592483,2015-06-20,Warrington Community Center,2
26592484,2015-06-20,West Penn Community Center,18
26592485,2015-06-20,Ammon Community Center,12
26592486,2015-06-20,Brookline Community Center,66
26592487,2015-06-20,Ormsby Community Center,30
26592488,2015-06-20,Magee Community Center,44
26592489,2015-06-20,Phillips Community Center,78
26592490,2015-06-19,West Penn Community Center,58
26592491,2015-06-19,Warrington Community Center,46
26592492,2015-06-19,Ammon Community Center,65
26592493,2015-06-19,Arlington Community Center,42
26592494,2015-06-19,Brookline Community Center,143
26592495,2015-06-19,Jefferson Community Center,101
26592496,2015-06-19,Magee Community Center,106
26592497,2015-06-19,Ormsby Community Center,57
26592498,2015-06-19,Phillips Community Center,203
26592499,2015-06-19,Paulson Community Center,98
26592500,2015-06-18,Warrington Community Center,79
26592501,2015-06-18,West Penn Community Center,41
26592502,2015-06-18,Arlington Community Center,63
26592503,2015-06-18,Ammon Community Center,136
26592504,2015-06-18,Jefferson Community Center,134
26592505,2015-06-18,Brookline Community Center,179
26592506,2015-06-18,Ormsby Community Center,58
26592507,2015-06-18,Magee Community Center,91
26592508,2015-06-18,Paulson Community Center,68
26592509,2015-06-18,Phillips Community Center,164
26592510,2015-06-17,West Penn Community Center,57
26592511,2015-06-17,Warrington Community Center,74
26592512,2015-06-17,Ammon Community Center,120
26592513,2015-06-17,Arlington Community Center,41
26592514,2015-06-17,Brookline Community Center,176
26592515,2015-06-17,Jefferson Community Center,121
26592516,2015-06-17,Magee Community Center,44
26592517,2015-06-17,Ormsby Community Center,73
26592518,2015-06-17,Phillips Community Center,253
26592519,2015-06-17,Paulson Community Center,130
26592520,2015-06-16,Warrington Community Center,63
26592521,2015-06-16,West Penn Community Center,64
26592522,2015-06-16,Arlington Community Center,59
26592523,2015-06-16,Ammon Community Center,121
26592524,2015-06-16,Jefferson Community Center,149
26592525,2015-06-16,Brookline Community Center,263
26592526,2015-06-16,Ormsby Community Center,42
26592527,2015-06-16,Magee Community Center,62
26592528,2015-06-16,Paulson Community Center,112
26592529,2015-06-16,Phillips Community Center,188
26592530,2015-06-15,West Penn Community Center,74
26592531,2015-06-15,Warrington Community Center,52
26592532,2015-06-15,Ammon Community Center,92
26592533,2015-06-15,Arlington Community Center,107
26592534,2015-06-15,Brookline Community Center,274
26592535,2015-06-15,Jefferson Community Center,86
26592536,2015-06-15,Magee Community Center,28
26592537,2015-06-15,Phillips Community Center,266
26592538,2015-06-15,Paulson Community Center,77
26592539,2015-06-14,Jefferson Community Center,17
