_id,date,center_name,attendance_count
26576049,2023-10-19,Brookline Community Center,24
26576050,2023-10-19,Magee Community Center,24
26576051,2023-10-19,Ormsby Community Center,16
26576052,2023-10-19,Paulson Community Center,19
26576053,2023-10-19,West Penn Community Center,137
26576054,2023-10-18,Phillips Community Center,50
26576055,2023-10-18,Warrington Community Center,25
26576056,2023-10-18,Arlington Community Center,74
26576057,2023-10-18,Ammon Community Center,29
26576058,2023-10-18,Brookline Community Center,26
26576059,2023-10-18,Magee Community Center,24
26576060,2023-10-18,Paulson Community Center,13
26576061,2023-10-18,Ormsby Community Center,12
26576062,2023-10-18,West Penn Community Center,14
26576063,2023-10-17,Warrington Community Center,37
26576064,2023-10-17,Phillips Community Center,53
26576065,2023-10-17,Ammon Community Center,16
26576066,2023-10-17,Arlington Community Center,19
26576067,2023-10-17,Brookline Community Center,26
26576068,2023-10-17,Magee Community Center,37
26576069,2023-10-17,Ormsby Community Center,12
26576070,2023-10-17,Paulson Community Center,8
26576071,2023-10-17,West Penn Community Center,126
26576072,2023-10-16,Phillips Community Center,57
26576073,2023-10-16,Warrington Community Center,11
26576074,2023-10-16,Arlington Community Center,22
26576075,2023-10-16,Ammon Community Center,29
26576076,2023-10-16,Brookline Community Center,41
26576077,2023-10-16,Magee Community Center,25
26576078,2023-10-16,Paulson Community Center,18
26576079,2023-10-16,Ormsby Community Center,24
26576080,2023-10-16,West Penn Community Center,35
26576081,2023-10-14,Phillips Community Center,3
26576082,2023-10-14,Arlington Community Center,80
26576083,2023-10-14,Brookline Community Center,1
26576084,2023-10-14,Magee Community Center,5
26576085,2023-10-14,West Penn Community Center,21
26576086,2023-10-13,Phillips Community Center,39
26576087,2023-10-13,Warrington Community Center,21
26576088,2023-10-13,Arlington Community Center,27
26576089,2023-10-13,Ammon Community Center,11
26576090,2023-10-13,Brookline Community Center,33
26576091,2023-10-13,Magee Community Center,26
26576092,2023-10-13,Ormsby Community Center,5
26576093,2023-10-13,Paulson Community Center,13
26576094,2023-10-13,West Penn Community Center,199
26576095,2023-10-12,Warrington Community Center,27
26576096,2023-10-12,Phillips Community Center,32
26576097,2023-10-12,Ammon Community Center,38
26576098,2023-10-12,Arlington Community Center,21
26576099,2023-10-12,Brookline Community Center,35
26576100,2023-10-12,Magee Community Center,37
26576101,2023-10-12,Paulson Community Center,18
26576102,2023-10-12,Ormsby Community Center,21
26576103,2023-10-12,West Penn Community Center,16
26576104,2023-10-11,Phillips Community Center,49
26576105,2023-10-11,Warrington Community Center,33
26576106,2023-10-11,Arlington Community Center,89
26576107,2023-10-11,Ammon Community Center,28
26576108,2023-10-11,Brookline Community Center,37
26576109,2023-10-11,Magee Community Center,20
26576110,2023-10-11,Ormsby Community Center,5
26576111,2023-10-11,Paulson Community Center,14
26576112,2023-10-11,West Penn Community Center,39
26576113,2023-10-10,Warrington Community Center,17
26576114,2023-10-10,Phillips Community Center,56
26576115,2023-10-10,Ammon Community Center,32
26576116,2023-10-10,Arlington Community Center,6
26576117,2023-10-10,Brookline Community Center,27
26576118,2023-10-10,Magee Community Center,29
26576119,2023-10-10,Paulson Community Center,16
26576120,2023-10-10,Ormsby Community Center,5
26576121,2023-10-10,West Penn Community Center,134
26576122,2023-10-09,Phillips Community Center,38
26576123,2023-10-09,Warrington Community Center,16
26576124,2023-10-09,Arlington Community Center,30
26576125,2023-10-09,Ammon Community Center,20
26576126,2023-10-09,Brookline Community Center,32
26576127,2023-10-09,Magee Community Center,42
26576128,2023-10-09,Ormsby Community Center,16
26576129,2023-10-09,Paulson Community Center,11
26576130,2023-10-09,West Penn Community Center,32
26576131,2023-10-07,Phillips Community Center,79
26576132,2023-10-07,Arlington Community Center,94
26576133,2023-10-07,Brookline Community Center,3
26576134,2023-10-07,Magee Community Center,5
26576135,2023-10-07,Paulson Community Center,7
26576136,2023-10-07,Ormsby Community Center,1
26576137,2023-10-07,West Penn Community Center,34
26576138,2023-10-06,Phillips Community Center,31
26576139,2023-10-06,Warrington Community Center,23
26576140,2023-10-06,Arlington Community Center,14
26576141,2023-10-06,Ammon Community Center,18
26576142,2023-10-06,Brookline Community Center,28
26576143,2023-10-06,Magee Community Center,37
26576144,2023-10-06,Ormsby Community Center,12
26576145,2023-10-06,Paulson Community Center,10
26576146,2023-10-06,West Penn Community Center,38
26576147,2023-10-05,Warrington Community Center,24
26576148,2023-10-05,Phillips Community Center,29
26576149,2023-10-05,Ammon Community Center,39
26576150,2023-10-05,Arlington Community Center,11
26576151,2023-10-05,Brookline Community Center,41
26576152,2023-10-05,Magee Community Center,29
26576153,2023-10-05,Paulson Community Center,14
26576154,2023-10-05,Ormsby Community Center,8
26576155,2023-10-05,West Penn Community Center,126
26576156,2023-10-04,Phillips Community Center,64
26576157,2023-10-04,Warrington Community Center,31
26576158,2023-10-04,Arlington Community Center,53
26576159,2023-10-04,Ammon Community Center,29
26576160,2023-10-04,Brookline Community Center,27
26576161,2023-10-04,Jefferson Community Center,1
26576162,2023-10-04,Magee Community Center,39
26576163,2023-10-04,Ormsby Community Center,10
26576164,2023-10-04,Paulson Community Center,18
26576165,2023-10-04,West Penn Community Center,31
26576166,2023-10-03,Warrington Community Center,24
26576167,2023-10-03,Phillips Community Center,54
26576168,2023-10-03,Ammon Community Center,53
